uuid;vin;make;model;mileage;year;price;zip_code;create_date;updte_date
dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata
dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata
dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata
dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata
dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata
dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata
dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata
dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata
dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata
dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata;dummydata
